mesh_id,cache_path,pt_path,obj_path,mask_cells,vertex_count,face_count,status,error,export_status,export_error
64444,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/64444.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/64444.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/64444.obj,1205,2532,5056,ok,,ok,
64764,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/64764.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/64764.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/64764.obj,1390,3107,6214,ok,,ok,
68380,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/68380.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/68380.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/68380.obj,1054,2575,5146,ok,,ok,
68381,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/68381.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/68381.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/68381.obj,1483,3568,7138,ok,,ok,
72870,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/72870.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/72870.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/72870.obj,934,1799,3588,ok,,ok,
72960,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/72960.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/72960.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/72960.obj,1628,2975,5944,ok,,ok,
73075,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/73075.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/73075.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/73075.obj,552,1287,2564,ok,,ok,
75496,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/75496.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75496.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75496.obj,1040,2311,4618,ok,,ok,
75655,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/75655.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75655.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75655.obj,1021,2604,5204,ok,,ok,
75656,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/75656.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75656.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75656.obj,999,2685,5368,ok,,ok,
75662,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/75662.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75662.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75662.obj,1339,3133,6264,ok,,ok,
75665,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/75665.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75665.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/75665.obj,1186,2951,5898,ok,,ok,
76277,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/76277.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/76277.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/76277.obj,1181,2757,5520,ok,,ok,
77245,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/77245.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/77245.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/77245.obj,1205,2889,5776,ok,,ok,
78671,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/78671.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/78671.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/78671.obj,521,1191,2364,ok,,ok,
79241,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/79241.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/79241.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/79241.obj,898,2115,4228,ok,,ok,
90889,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/90889.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/90889.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/90889.obj,1319,2821,5642,ok,,ok,
92763,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/92763.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/92763.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/92763.obj,1149,2471,4932,ok,,ok,
92880,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/92880.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/92880.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/92880.obj,988,2094,4174,ok,,ok,
95444,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/95444.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/95444.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/95444.obj,696,1447,2880,ok,,ok,
96481,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/96481.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/96481.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/96481.obj,688,1759,3500,ok,,ok,
